['-121.99', '37.61', '9', '3666', '711', '2341', '703', '4.6458', '217000', '<1H OCEAN']
['-121.02', '37.09', '17', '1118', '270', '560', '244', '2.0216', '112500', 'INLAND']
['-121.28', '37.96', '28', '1942', '724', '1618', '638', '0.9365', '52500', 'INLAND']
['-121.28', '37.95', '49', '1200', '364', '1448', '318', '1.1094', '52500', 'INLAND']
['-121.28', '37.95', '46', '1026', '330', '1109', '333', '1.2904', '63300', 'INLAND']
['-121.29', '37.96', '52', '888', '324', '630', '258', '1.2411', '112500', 'INLAND']
['-121.29', '37.96', '52', '287', '119', '154', '85', '0.8738', '75000', 'INLAND']
['-121.29', '37.95', '16', '761', '306', '438', '282', '0.7714', '87500', 'INLAND']
['-121.3', '37.96', '24', '1212', '366', '1202', '343', '1.7875', '76800', 'INLAND']
['-121.31', '37.96', '48', '1112', '227', '583', '216', '2.3393', '77600', 'INLAND']
['-121.29', '37.97', '52', '1610', '480', '1025', '440', '1.2962', '110200', 'INLAND']
['-121.29', '37.96', '48', '1778', '541', '1237', '462', '1.3438', '103100', 'INLAND']
['-121.29', '37.96', '50', '1669', '558', '1340', '484', '1.3191', '92300', 'INLAND']
['-121.3', '37.96', '31', '2668', '812', '1398', '721', '1125', '110400', 'INLAND']
['-121.3', '37.96', '52', '1475', '238', '736', '260', '3.6591', '105100', 'INLAND']
['-121.3', '37.96', '52', '1354', '314', '679', '311', '1.7788', '97400', 'INLAND']
['-121.31', '37.96', '52', '2654', '468', '1157', '494', '3226', '107600', 'INLAND']
['-121.31', '37.96', '52', '1829', '301', '694', '319', '3.3466', '92600', 'INLAND']
['-121.28', '37.97', '47', '2348', '507', '1455', '479', '1.65', '66000', 'INLAND']
['-121.27', '37.96', '43', '1624', '448', '1805', '440', '1425', '61300', 'INLAND']
['-121.27', '37.95', '43', '557', '165', '573', '144', '1.7212', '59000', 'INLAND']
['-121.27', '37.95', '52', '1318', '308', '1368', '310', '1.8261', '54600', 'INLAND']
['-121.27', '37.94', '38', '512', '133', '676', '124', '1.7386', '52000', 'INLAND']
['-121.28', '37.94', '44', '1406', '357', '1489', '386', '1.4688', '56800', 'INLAND']
['-121.28', '37.94', '48', '1766', '444', '1406', '421', '1.7039', '52700', 'INLAND']
['-121.29', '37.94', '40', '2827', '655', '2037', '574', '2.0303', '63800', 'INLAND']
['-121.3', '37.94', '40', '452', '109', '412', '97', '1.3417', '60800', 'INLAND']
['-121.3', '37.94', '52', '24', '6', '23', '5', '2375', '67500', 'INLAND']
['-121.32', '37.94', '36', '40', '10', '64', '14', '2625', '55000', 'INLAND']
['-121.31', '37.96', '52', '1938', '332', '788', '320', '3.6094', '118400', 'INLAND']
['-121.32', '37.96', '47', '1700', '344', '922', '357', '3.1845', '87200', 'INLAND']
['-121.32', '37.96', '46', '1832', '365', '975', '373', '2.0398', '88100', 'INLAND']
['-121.33', '37.96', '42', '1619', '340', '906', '339', '2.5488', '80300', 'INLAND']
['-121.34', '37.96', '27', '1839', '442', '2010', '416', '2.1284', '59400', 'INLAND']
['-121.32', '37.95', '36', '747', '189', '338', '145', '1.7885', '62100', 'INLAND']
['-121.32', '37.96', '5', '123', '21', '50', '20', '2.7656', '50000', 'INLAND']
['-121.34', '37.97', '33', '2493', '454', '1203', '436', '3765', '94600', 'INLAND']
['-121.34', '37.96', '23', '2830', '659', '1554', '654', '3.0354', '113700', 'INLAND']
['-121.35', '37.97', '33', '3656', '681', '1698', '671', '3.1406', '93900', 'INLAND']
['-121.36', '37.96', '32', '614', '95', '227', '107', '3.9922', '247400', 'INLAND']
['-121.35', '37.96', '21', '1343', '183', '462', '193', '5.8995', '189900', 'INLAND']
['-121.32', '37.98', '37', '3247', '643', '1737', '665', '3066', '94100', 'INLAND']
['-121.33', '37.98', '36', '3113', '576', '1746', '544', '3.4625', '84600', 'INLAND']
['-121.33', '37.97', '38', '3166', '575', '1351', '561', '3.5404', '91600', 'INLAND']
['-121.32', '37.97', '46', '2270', '427', '1097', '453', '3.3235', '87800', 'INLAND']
['-121.32', '37.97', '43', '2453', '490', '1093', '438', '2.9107', '88800', 'INLAND']
['-121.33', '37.96', '20', '1727', '386', '730', '342', '2.5195', '92600', 'INLAND']
['-121.33', '37.97', '43', '1511', '292', '721', '320', '3.5703', '87400', 'INLAND']
['-121.33', '37.97', '36', '1953', '492', '999', '371', '2.0043', '90800', 'INLAND']
['-121.31', '37.98', '47', '3386', '663', '1228', '619', '3.0625', '141500', 'INLAND']
['-121.3', '37.97', '52', '2980', '537', '1128', '510', '4061', '113600', 'INLAND']
['-121.31', '37.97', '42', '1824', '277', '720', '309', '5.1915', '183700', 'INLAND']
['-121.31', '37.97', '45', '2604', '454', '988', '442', '3.6667', '123100', 'INLAND']
['-121.29', '37.98', '42', '625', '143', '533', '159', '2625', '65400', 'INLAND']
['-121.29', '37.97', '52', '2995', '555', '1392', '503', '1.7794', '98800', 'INLAND']
['-121.29', '37.98', '49', '2501', '565', '1171', '550', '2.5043', '76700', 'INLAND']
['-121.3', '37.98', '47', '2373', '461', '990', '444', '4175', '98300', 'INLAND']
['-121.3', '37.97', '52', '2259', '417', '766', '385', '2.2981', '105400', 'INLAND']
['-121.29', '37.99', '41', '930', '191', '463', '185', '3.4141', '90600', 'INLAND']
['-121.29', '37.99', '30', '1271', '528', '2019', '524', '1.5152', '81300', 'INLAND']
['-121.3', '37.99', '38', '2375', '494', '1167', '471', '2.6673', '87500', 'INLAND']
['-121.3', '37.98', '39', '3375', '659', '1388', '631', '2.6364', '93800', 'INLAND']
['-121.28', '37.99', '42', '495', '116', '284', '97', '2.8854', '55700', 'INLAND']
['-121.26', '37.98', '32', '3274', '820', '2050', '738', '2.1265', '55700', 'INLAND']
['-121.27', '37.98', '43', '2608', '516', '1322', '528', '2.5714', '70000', 'INLAND']
['-121.27', '37.98', '43', '1005', '200', '492', '172', '2.6812', '72800', 'INLAND']
['-121.28', '37.98', '52', '941', '184', '414', '171', '2.1429', '69900', 'INLAND']
['-121.29', '37.99', '45', '965', '198', '498', '195', '1.6944', '75200', 'INLAND']
['-121.27', '37.97', '39', '1023', '243', '550', '224', '1.1141', '54400', 'INLAND']
['-121.26', '37.96', '43', '527', '133', '367', '152', '2.5', '63600', 'INLAND']
['-121.27', '37.96', '43', '948', '221', '749', '208', '1962', '52700', 'INLAND']
['-121.27', '37.96', '52', '583', '114', '310', '93', '2.5625', '54200', 'INLAND']
['-121.26', '37.98', '41', '1633', '433', '885', '413', '0.9782', '54200', 'INLAND']
['-121.25', '37.98', '39', '1765', '414', '1056', '414', '1.5329', '48300', 'INLAND']
['-121.26', '37.97', '31', '1189', '295', '891', '292', '2.5536', '50500', 'INLAND']
['-121.25', '37.97', '34', '1288', '344', '846', '293', '1.7895', '63100', 'INLAND']
['-121.26', '37.96', '43', '940', '208', '690', '181', '2.3056', '62300', 'INLAND']
['-121.26', '37.97', '41', '2398', '448', '1143', '444', '3.0352', '69800', 'INLAND']
['-121.25', '37.97', '41', '855', '189', '716', '206', '2.0375', '75000', 'INLAND']
['-121.26', '37.96', '35', '1511', '316', '892', '304', '1.7898', '63500', 'INLAND']
['-121.25', '37.95', '40', '1703', '362', '1208', '373', '2.0817', '55300', 'INLAND']
['-121.26', '37.95', '44', '819', '184', '677', '183', '1725', '59300', 'INLAND']
['-121.26', '37.95', '39', '1841', '428', '1368', '390', '2.1583', '62000', 'INLAND']
['-121.27', '37.96', '41', '461', '101', '382', '79', '1275', '54000', 'INLAND']
['-121.26', '37.96', '40', '535', '105', '335', '102', '2.5234', '62800', 'INLAND']
['-121.25', '37.96', '26', '2205', '478', '1730', '472', '2.4866', '68300', 'INLAND']
['-121.24', '37.96', '29', '874', '217', '788', '222', '1.9187', '57700', 'INLAND']
['-121.25', '37.95', '46', '2001', '428', '1384', '401', '1.9402', '62200', 'INLAND']
['-121.24', '37.95', '36', '361', '63', '169', '62', '3.7734', '63800', 'INLAND']
['-121.25', '37.94', '30', '1509', '308', '967', '278', '1.7798', '65900', 'INLAND']
['-121.24', '37.94', '5', '2232', '488', '1857', '435', '2.8705', '113600', 'INLAND']
['-121.24', '37.93', '21', '1185', '237', '960', '245', '2.0893', '65000', 'INLAND']
['-121.25', '37.94', '28', '964', '232', '782', '218', '2.3269', '55900', 'INLAND']
['-121.25', '37.93', '31', '1673', '382', '1734', '400', '2.0833', '48300', 'INLAND']
['-121.26', '37.93', '33', '2109', '531', '2248', '588', '1.4583', '53000', 'INLAND']
['-121.26', '37.94', '43', '1610', '412', '1409', '365', '1.7574', '51700', 'INLAND']
['-121.27', '37.93', '24', '1451', '320', '1413', '283', '2125', '61200', 'INLAND']
['-121.28', '37.94', '35', '2680', '634', '2188', '611', '1.9375', '56700', 'INLAND']
['-121.28', '37.92', '36', '499', '115', '451', '124', '2.1705', '60300', 'INLAND']
['-121.28', '37.94', '40', '2806', '685', '2268', '635', '1.8814', '57700', 'INLAND']
['-121.29', '37.93', '37', '2488', '578', '1854', '514', '2551', '59100', 'INLAND']
['-121.29', '37.93', '24', '1438', '351', '1294', '342', '2.7829', '61800', 'INLAND']
['-121.28', '37.93', '23', '1491', '346', '1223', '343', '2.1591', '67800', 'INLAND']
['-121.28', '37.92', '30', '1061', '230', '851', '195', '2.4412', '61600', 'INLAND']
['-121.29', '37.92', '12', '1096', '240', '1175', '278', '3.1053', '73100', 'INLAND']
['-121.28', '37.91', '31', '820', '179', '576', '155', '1.69', '65900', 'INLAND']
['-121.31', '37.93', '21', '1556', '314', '1140', '304', '2.4667', '81400', 'INLAND']
['-121.3', '37.92', '28', '3308', '766', '3201', '720', '1.7694', '73900', 'INLAND']
['-121.24', '37.98', '33', '450', '123', '236', '103', '1.1964', '80400', 'INLAND']
['-121.24', '37.97', '47', '886', '196', '517', '188', '2.1991', '67200', 'INLAND']
['-121.24', '37.96', '37', '1175', '260', '951', '267', '2875', '57700', 'INLAND']
['-121.23', '37.96', '37', '2351', '564', '1591', '549', '1.6563', '57200', 'INLAND']
['-121.23', '37.96', '44', '2204', '473', '1277', '435', '1.5539', '59200', 'INLAND']
['-121.23', '37.95', '36', '811', '168', '514', '152', '2625', '89200', 'INLAND']
['-121.22', '37.97', '37', '1514', '337', '1121', '337', '2401', '58400', 'INLAND']
['-121.22', '37.96', '30', '1737', '381', '1177', '347', '1.9875', '56400', 'INLAND']
['-121.22', '37.96', '31', '1484', '314', '1163', '336', '2625', '72100', 'INLAND']
['-121.25', '37.92', '19', '2109', '427', '1742', '426', '2.4097', '66000', 'INLAND']
['-121.23', '37.92', '28', '590', '129', '315', '99', '1.8958', '85700', 'INLAND']
['-121.33', '37.99', '15', '4472', '1079', '1837', '976', '2.5', '175900', 'INLAND']
['-121.34', '37.99', '11', '4487', '868', '2195', '780', '3.9615', '194600', 'INLAND']
['-121.34', '37.99', '14', '3111', '498', '1178', '525', '6556', '234700', 'INLAND']
['-121.31', '37.99', '15', '3103', '965', '3061', '861', '1.3729', '110300', 'INLAND']
['-121.32', '37.98', '20', '1591', '589', '1916', '536', '1.3531', '94600', 'INLAND']
['-121.33', '37.98', '9', '2370', '424', '1129', '386', '5143', '176500', 'INLAND']
['-121.33', '37.98', '10', '1564', '397', '643', '347', '2.7031', '150000', 'INLAND']
['-121.36', '37.99', '8', '1801', '380', '684', '350', '4.2589', '134900', 'INLAND']
['-121.34', '37.98', '8', '2628', '428', '1158', '393', '5.3002', '191700', 'INLAND']
['-121.31', '37.99', '23', '3135', '707', '1650', '680', '1886', '105300', 'INLAND']
['-121.26', '37.99', '27', '429', '102', '179', '90', '2.3333', '87500', 'INLAND']
['-121.23', '37.99', '38', '523', '80', '226', '72', '5.5693', '153100', 'INLAND']
['-121.23', '37.98', '27', '849', '137', '373', '131', '5.0362', '181300', 'INLAND']
